Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
229,16,13,26,10,11,12,8,20,4,8
230,15,19,22,10,11,5,3,8,16,14
231,14,11,17,5,5,14,11,14,22,20
232,10,18,11,17,18,5,8,10,16,20
233,23,5,7,9,7,14,7,18,9,11
234,13,7,14,2,13,16,14,9,9,13
235,12,9,5,14,3,19,15,16,13,8
236,9,16,18,9,10,8,14,9,1,8
237,17,19,16,6,10,15,16,18,13,6
238,6,19,19,12,16,14,10,12,10,16
239,15,13,9,19,9,6,16,9,8,5
240,17,22,9,7,14,7,14,19,13,10
241,18,9,11,14,10,10,10,12,10,15
242,17,23,17,15,7,10,4,20,10,10
243,19,19,6,11,16,9,10,10,7,10
244,11,8,4,17,14,14,11,18,17,6
245,14,8,7,29,5,18,8,10,1,17
246,11,12,12,10,13,6,4,8,3,14
247,5,20,17,10,19,18,8,4,8,12
248,5,17,20,19,12,18,15,7,11,20
249,14,11,8,17,7,13,10,26,18,6
250,10,13,14,10,16,12,6,8,4,7
251,13,21,17,11,18,14,19,16,7,11
252,12,19,12,11,13,11,16,6,4,15
253,8,18,5,7,8,29,16,14,10,19
254,8,6,21,0,6,13,9,7,8,21
255,13,11,14,9,17,21,14,12,7,20
256,3,0,4,13,4,13,13,11,5,17
257,19,11,9,11,16,11,10,4,14,10
258,20,14,9,15,16,3,21,19,19,11
259,4,11,17,17,6,7,14,13,4,8
260,20,11,16,10,18,18,11,24,7,13
261,12,8,16,16,11,14,20,17,24,10
262,10,14,13,18,17,20,12,8,11,8
263,3,20,4,8,12,12,10,2,12,6
264,8,18,11,6,12,15,9,18,12,6
265,5,8,10,20,11,14,13,10,16,5
266,11,21,18,5,11,13,7,1,9,16
267,9,9,9,15,14,16,8,18,19,12
268,9,17,9,21,13,13,12,22,22,12
269,9,12,10,15,7,16,8,18,19,13
270,6,4,5,17,20,8,9,7,10,11
271,17,9,6,16,9,9,9,11,6,14
272,16,7,11,15,12,26,15,18,12,12
273,9,9,17,10,13,12,17,11,16,21
274,17,12,13,9,16,4,9,12,8,14
275,17,21,16,9,12,17,3,20,18,7
276,11,5,6,11,11,11,13,14,6,9
277,9,14,13,14,14,6,18,4,9,13
278,26,6,8,7,12,8,10,20,20,19
279,19,13,14,15,12,1,19,10,13,7
280,8,15,11,12,13,21,16,12,8,5
281,15,17,14,7,7,4,22,20,4,7
282,17,2,10,1,9,14,6,14,6,12
283,14,17,17,5,12,18,15,7,11,9
284,15,14,1,12,8,12,17,22,0,17
285,13,21,7,13,9,5,7,10,16,20
286,11,6,10,15,7,18,11,10,9,9
287,11,18,12,5,4,18,4,11,13,9
288,6,17,15,1,8,8,10,15,19,8
289,19,8,21,10,16,20,14,19,17,10
290,22,5,3,9,14,6,21,5,11,10
291,11,15,2,11,10,23,20,6,10,16
292,12,5,21,7,13,13,14,14,19,11
293,12,10,9,17,9,8,10,11,11,6
294,3,13,3,10,12,5,4,9,7,11
295,11,14,16,12,20,9,10,16,9,3
296,14,18,11,6,11,16,8,25,6,29
297,9,13,23,7,22,12,14,7,3,16
298,16,17,11,13,9,7,16,10,15,12
299,16,4,10,10,16,14,7,7,12,8
